instance_id,depth_p10,depth_p50,depth_p90,depth_entropy,depth_skew,queue_entropy
1802,24,47,101,6.7046710393330295,1.2108492485835656,0.8139181242557318
1803,27,46,95,6.461649331093175,1.258951169923018,0.7649155018843036
1804,26,53,115,6.902999095814844,1.1002546443038237,1.1780803258984738
1805,30,56,114,6.82321844127678,0.9670906349049844,0.8132471542716964
1806,2,10,18,4.381942248520522,-0.006163868825815849,0.9961344835095797
1807,26,51,104,6.77316601940869,1.2379211320023829,0.9708154199573624
1808,24,62,136,7.245689101569154,0.6965845423291133,0.17540120963331973
1809,22,61,137,7.264223526016865,0.73315968001897,0.15908542346682517
1810,27,52,114,6.874072679189939,1.1608667770811163,1.0368981966865227
1811,31,54,104,6.6672927045925245,1.1370352876626355,1.1013548948590064
1812,27,63,134,7.235601699984437,0.524529069399365,0.2138325741966007
1813,23,55,119,7.044025347485526,0.9130743497892909,1.0569899851129059
1814,16,60,147,7.316227791620994,0.6651177121539998,0.363682931831724
1815,27,47,105,6.6427522976685545,1.29881247158957,0.7403269172685948
1816,31,47,89,6.325718022234849,1.5902201285113684,1.4927554877837252
1817,26,48,102,6.707582689658103,1.31243126441043,1.0871570730598066
1818,23,42,91,6.521046459501906,1.2105023466946678,1.2276590917811814
1819,30,49,95,6.4910933602695025,1.3371424656712523,0.8824448235077929
1820,25,53,108,6.857633630681463,1.059329130576646,1.132189188572845
1821,20,57,146,7.25478134385178,0.7070217178917906,0.17017729064458095
1822,25,52,120,6.943341770728003,1.0870789279296205,0.5993765923348469
1823,23,52,120,7.015762893546238,1.020812639164634,0.08858422759202586
1824,22,53,120,7.00343419211623,0.9567636615293414,0.5453831579472295
1825,23,47,111,6.851838604761711,1.324135809766735,0.786033109646928
1826,26,66,140,7.300491316845136,0.5683997786146484,0.17622366669237816
1827,22,77,144,7.423095821090764,0.27910355229626693,0.2863969571159562
1828,22,50,124,7.016166911382386,1.1052303091743232,1.071565768349087
1829,27,53,110,6.841539715292403,1.183284307689324,0.5747491015789716
1830,25,45,112,6.823492844597639,1.5544016631849822,0.1452233006287966
1831,23,56,125,7.119443071223383,0.8780015076960982,0.0995718593520492
1832,10,51,117,7.025821562920082,0.4424698686584537,0.49177002137861525
1833,22,82,159,7.476725163020993,0.19775766117731364,0.2816581561287894
1834,27,58,128,7.025439385145353,0.8414755455119,0.6290781008432498
1835,26,51,109,6.8338251943842785,1.2040625994977958,0.4711271386034534
1836,17,63,155,7.414185409293793,0.6444892098053172,0.34438910560526487
1837,27,67,133,7.236349994448691,0.6066192958251653,0.13259484675898037
1838,9,66,136,7.211211111832328,0.17187834496406706,0.5455663373066358
1839,29,46,88,6.369522421450969,1.5994358505109543,0.7330275042473271
1840,25,46,99,6.603997447402248,1.2173094758039475,0.37175566084412554
1841,26,47,97,6.635968592466057,1.353499066721554,0.9582922626734275
1842,24,56,122,7.044058378576,0.9606278625952457,0.09243841674579964
1843,17,62,155,7.376890416597408,0.7061157548704702,0.34438910560526487
1844,25,46,98,6.605620064259312,1.2831544421606922,0.26890471434879026
1845,23,46,100,6.677824490414901,1.1226261554141836,0.9869249348791499
1846,24,44,94,6.595862713012498,1.3085979764777882,0.7638162337798805
1847,27,61,147,7.2553863475117355,0.8118254508158581,0.13224133893469162
1848,26,65,142,7.262405477002282,0.723297009839066,0.09480348148958576
1849,24,46,104,6.758153899208613,1.4008253864324005,0.8080461649139262
1850,28,73,140,7.311879507744988,0.5093199079732555,0.12840169396981801
1851,18,63,162,7.433076576153272,0.7533559914782234,0.32026200878705646
1852,24,51,114,6.905415069778786,1.1531975127955074,0.5637578291739448
1853,20,64,138,7.329725304374174,0.588171336775306,0.2830614824905374
1854,25,47,95,6.580007080914074,1.291800447543583,0.21016271064145894
1855,26,53,123,6.957656722916115,1.2388487754210011,1.3199074524474443
1856,26,52,125,6.984717257514006,1.062769946810575,0.3727907764522405
1857,22,62,133,7.257140339516006,0.6978496528995569,0.1319775570939615
1858,25,63,135,7.259838401710766,0.6832455854541086,0.17094675990651945
1859,25,50,103,6.719354856783727,1.1499349363335842,1.1394326863107398
1860,26,62,133,7.2057082479597545,0.719517461189149,0.15133331980184817
1861,13,66,146,7.355508926809054,0.41660143959373624,0.4127280438421641
1862,25,52,107,6.84170230967785,1.0980347064676037,0.7614624695256378
1863,28,54,118,6.883259193634902,1.2049072836192758,0.35495677394898767
1864,22,54,126,7.120679590907947,0.9596412291530931,0.07922956961017365
1865,24,45,102,6.655193519972537,1.2860092404406136,0.3216359823356925
1866,29,46,94,6.437849375698369,1.4611542095572738,1.1869517149665303
1867,23,53,114,6.9985260460584415,0.9347165354513229,0.12334120522555957
1868,6,37,84,6.513153408920676,0.2851788702491279,0.7007495497162063
1869,25,53,108,6.843733070881051,0.9780818976252416,0.5323044322847094
1870,28,56,122,6.981117371468857,1.1552178490833538,0.7551680259548567
1871,25,40,87,6.3432207917782915,1.7191004761559654,1.0868437583306993
1872,17,66,153,7.411533535299237,0.5191305157148782,0.3465840349233273
1873,22,63,125,7.202561446784611,0.5442902318026613,0.2409664416869981
1874,28,57,117,6.901865716400503,0.9846787996410782,0.9139373871692956
1875,27,45,91,6.497805860058306,1.4297959737767536,0.5531685744922245
1876,26,50,101,6.7232592241631055,1.2768724340259459,0.5817186103238048
1877,27,41,78,6.1423434205561,1.4600313351830994,0.7913103576689664
1878,28,49,102,6.627788357765401,1.2272176148907614,0.518326110321368
1879,26,49,99,6.690467770065335,1.3671852098925903,0.3760449231807232
1880,24,44,97,6.587056221865307,1.4820542092325508,0.2613182240090666
1881,25,59,137,7.2482419144863695,0.7632037985550665,0.19243068248657266
1882,5,39,84,6.508632440797382,0.20967126262314903,0.7219280948873623
1883,29,49,98,6.54969908547033,1.3472210440353094,0.6767166997643168
1884,23,52,119,7.001468409321351,1.021524980895963,0.9615646397879699
1885,28,49,100,6.592250976168361,1.2066585210941811,0.9491690857107865
1886,22,44,102,6.728536401696539,1.2558319980121735,0.9208170471126796
1887,28,51,100,6.644293812064491,1.1758475006498161,0.9034502881398239
1888,25,46,98,6.625728676537897,1.3123808174236367,0.23916153606000962
